@relation classType
@attribute rrInterval, NUMERIC 
@attribute classType { Exercise , BaseLine }
@data
34596 ,BaseLine
34596 ,BaseLine
166464 ,BaseLine
166464 ,BaseLine
26896 ,BaseLine
26896 ,BaseLine
152881 ,BaseLine
152881 ,BaseLine
51984 ,BaseLine
51984 ,BaseLine
149769 ,BaseLine
149769 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
10000 ,BaseLine
10000 ,BaseLine
10816 ,BaseLine
10816 ,BaseLine
157609 ,BaseLine
157609 ,BaseLine
43264 ,BaseLine
43264 ,BaseLine
150544 ,BaseLine
150544 ,BaseLine
47089 ,BaseLine
47089 ,BaseLine
144400 ,BaseLine
144400 ,BaseLine
50176 ,BaseLine
50176 ,BaseLine
211600 ,BaseLine
211600 ,BaseLine
23104 ,BaseLine
23104 ,BaseLine
12544 ,BaseLine
12544 ,BaseLine
112896 ,BaseLine
112896 ,BaseLine
29584 ,BaseLine
29584 ,BaseLine
141376 ,BaseLine
141376 ,BaseLine
19881 ,BaseLine
19881 ,BaseLine
51984 ,BaseLine
51984 ,BaseLine
135424 ,BaseLine
135424 ,BaseLine
137641 ,BaseLine
137641 ,BaseLine
135424 ,BaseLine
135424 ,BaseLine
53824 ,BaseLine
53824 ,BaseLine
12544 ,BaseLine
12544 ,BaseLine
126736 ,BaseLine
126736 ,BaseLine
51984 ,BaseLine
51984 ,BaseLine
156816 ,BaseLine
156816 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
10000 ,BaseLine
10000 ,BaseLine
13456 ,BaseLine
13456 ,BaseLine
144400 ,BaseLine
144400 ,BaseLine
49284 ,BaseLine
49284 ,BaseLine
141376 ,BaseLine
141376 ,BaseLine
25600 ,BaseLine
25600 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14884 ,BaseLine
14884 ,BaseLine
197136 ,BaseLine
197136 ,BaseLine
28224 ,BaseLine
28224 ,BaseLine
28224 ,BaseLine
28224 ,BaseLine
28224 ,BaseLine
28224 ,BaseLine
28224 ,BaseLine
28224 ,BaseLine
28224 ,BaseLine
28224 ,BaseLine
28224 ,BaseLine
28224 ,BaseLine
28224 ,BaseLine
28224 ,BaseLine
28224 ,BaseLine
28224 ,BaseLine
28224 ,BaseLine
28224 ,BaseLine
28224 ,BaseLine
28224 ,BaseLine
