@relation classType
@attribute rrInterval, NUMERIC 
@attribute classType { Exercise , BaseLine }
@data
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
356 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
201 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
28 ,BaseLine
28 ,BaseLine
28 ,BaseLine
28 ,BaseLine
28 ,BaseLine
28 ,BaseLine
28 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
368 ,BaseLine
32 ,BaseLine
32 ,BaseLine
32 ,BaseLine
32 ,BaseLine
32 ,BaseLine
32 ,BaseLine
